CENSUS_YEAR,Health Zone,Health Zone Name,Age Group,Total,Men,Women,AgeMid
2021,Zone 1,Western,0 to 4 years,7475,3820,3655,2.0
2021,Zone 1,Western,5 to 9 years,8900,4555,4340,7.0
2021,Zone 1,Western,10 to 14 years,9400,4880,4520,12.0
2021,Zone 1,Western,15 to 19 years,9305,4800,4505,17.0
2021,Zone 1,Western,20 to 24 years,9280,4880,4400,22.0
2021,Zone 1,Western,25 to 29 years,9005,4525,4480,27.0
2021,Zone 1,Western,30 to 34 years,9760,4745,5015,32.0
2021,Zone 1,Western,35 to 39 years,10135,4930,5210,37.0
2021,Zone 1,Western,40 to 44 years,10345,4910,5430,42.0
2021,Zone 1,Western,45 to 49 years,11630,5630,5995,47.0
2021,Zone 1,Western,50 to 54 years,13460,6525,6940,52.0
2021,Zone 1,Western,55 to 59 years,17575,8530,9045,57.0
2021,Zone 1,Western,60 to 64 years,18410,8915,9495,62.0
2021,Zone 1,Western,65 to 69 years,16645,8055,8585,67.0
2021,Zone 1,Western,70 to 74 years,15000,7265,7735,72.0
2021,Zone 1,Western,75 to 79 years,10085,4820,5265,77.0
2021,Zone 1,Western,80 to 84 years,6535,3000,3530,82.0
2021,Zone 1,Western,85 to 89 years,3760,1575,2190,87.0
2021,Zone 1,Western,90 to 94 years,1695,530,1165,92.0
2021,Zone 1,Western,95 to 99 years,485,105,380,97.0
2021,Zone 1,Western,100 years and over,95,10,80,102.0
2021,Zone 2,Northern,0 to 4 years,6045,3180,2865,2.0
2021,Zone 2,Northern,5 to 9 years,7210,3700,3510,7.0
2021,Zone 2,Northern,10 to 14 years,8205,4230,3975,12.0
2021,Zone 2,Northern,15 to 19 years,7700,3925,3775,17.0
2021,Zone 2,Northern,20 to 24 years,7170,3805,3370,22.0
2021,Zone 2,Northern,25 to 29 years,7395,3735,3665,27.0
2021,Zone 2,Northern,30 to 34 years,7710,3780,3935,32.0
2021,Zone 2,Northern,35 to 39 years,7810,3735,4075,37.0
2021,Zone 2,Northern,40 to 44 years,8370,3945,4420,42.0
2021,Zone 2,Northern,45 to 49 years,9345,4480,4870,47.0
2021,Zone 2,Northern,50 to 54 years,10405,4985,5425,52.0
2021,Zone 2,Northern,55 to 59 years,12545,6065,6485,57.0
2021,Zone 2,Northern,60 to 64 years,12770,6145,6620,62.0
2021,Zone 2,Northern,65 to 69 years,11670,5695,5980,67.0
2021,Zone 2,Northern,70 to 74 years,10275,4945,5335,72.0
2021,Zone 2,Northern,75 to 79 years,6695,3225,3470,77.0
2021,Zone 2,Northern,80 to 84 years,4305,1915,2395,82.0
2021,Zone 2,Northern,85 to 89 years,2445,990,1455,87.0
2021,Zone 2,Northern,90 to 94 years,1170,410,760,92.0
2021,Zone 2,Northern,95 to 99 years,295,55,235,97.0
2021,Zone 2,Northern,100 years and over,45,5,40,102.0
2021,Zone 3,Eastern,0 to 4 years,6135,3115,3025,2.0
2021,Zone 3,Eastern,5 to 9 years,7235,3645,3590,7.0
2021,Zone 3,Eastern,10 to 14 years,7950,4130,3820,12.0
2021,Zone 3,Eastern,15 to 19 years,8185,4230,3960,17.0
2021,Zone 3,Eastern,20 to 24 years,8530,4425,4095,22.0
2021,Zone 3,Eastern,25 to 29 years,8300,4230,4070,27.0
2021,Zone 3,Eastern,30 to 34 years,7775,3825,3955,32.0
2021,Zone 3,Eastern,35 to 39 years,7835,3685,4145,37.0
2021,Zone 3,Eastern,40 to 44 years,8160,3810,4345,42.0
2021,Zone 3,Eastern,45 to 49 years,9080,4290,4800,47.0
2021,Zone 3,Eastern,50 to 54 years,10325,4955,5370,52.0
2021,Zone 3,Eastern,55 to 59 years,13060,6060,7000,57.0
2021,Zone 3,Eastern,60 to 64 years,14255,6850,7405,62.0
2021,Zone 3,Eastern,65 to 69 years,13630,6675,6955,67.0
2021,Zone 3,Eastern,70 to 74 years,11675,5705,5970,72.0
2021,Zone 3,Eastern,75 to 79 years,7710,3555,4155,77.0
2021,Zone 3,Eastern,80 to 84 years,5060,2230,2830,82.0
2021,Zone 3,Eastern,85 to 89 years,2930,1120,1810,87.0
2021,Zone 3,Eastern,90 to 94 years,1245,395,855,92.0
2021,Zone 3,Eastern,95 to 99 years,385,100,280,97.0
2021,Zone 3,Eastern,100 years and over,55,10,45,102.0
2021,Zone 4,Central,0 to 4 years,20680,10490,10190,2.0
2021,Zone 4,Central,5 to 9 years,23720,12150,11575,7.0
2021,Zone 4,Central,10 to 14 years,23740,12265,11470,12.0
2021,Zone 4,Central,15 to 19 years,22985,11815,11165,17.0
2021,Zone 4,Central,20 to 24 years,33030,17005,16030,22.0
2021,Zone 4,Central,25 to 29 years,35730,17890,17840,27.0
2021,Zone 4,Central,30 to 34 years,34325,16945,17380,32.0
2021,Zone 4,Central,35 to 39 years,31970,15605,16365,37.0
2021,Zone 4,Central,40 to 44 years,29555,14230,15320,42.0
2021,Zone 4,Central,45 to 49 years,29140,14015,15125,47.0
2021,Zone 4,Central,50 to 54 years,29580,14135,15445,52.0
2021,Zone 4,Central,55 to 59 years,33900,16555,17345,57.0
2021,Zone 4,Central,60 to 64 years,31500,15170,16335,62.0
2021,Zone 4,Central,65 to 69 years,26445,12305,14140,67.0
2021,Zone 4,Central,70 to 74 years,22485,10385,12095,72.0
2021,Zone 4,Central,75 to 79 years,14835,6800,8035,77.0
2021,Zone 4,Central,80 to 84 years,9230,3945,5290,82.0
2021,Zone 4,Central,85 to 89 years,5455,2170,3290,87.0
2021,Zone 4,Central,90 to 94 years,2240,715,1525,92.0
2021,Zone 4,Central,95 to 99 years,650,110,535,97.0
2021,Zone 4,Central,100 years and over,95,20,75,102.0
