year,zone_name,AMI,Asthma,COPD,Diabetes,Hypertension,IHD
2000,Central,10.6,77.84,83.66,57.29,184.31,61.85
2000,Eastern,19.06,58.28,96.82,78.96,237.88,77.89
2000,Northern,12.09,64.23,95.23,63.68,225.81,72.6
2000,Western,14.12,61.88,76.47,70.81,211.64,76.73
2001,Central,12.15,84.26,88.22,60.8,195.4,65.03
2001,Eastern,18.13,63.36,105.57,84.1,253.81,82.2
2001,Northern,14.13,69.74,100.3,69.05,241.5,77.84
2001,Western,15.79,67.34,81.8,76.32,225.52,80.47
2002,Central,15.29,89.84,91.78,64.07,205.31,67.77
2002,Eastern,19.87,67.79,113.12,89.82,269.76,86.16
2002,Northern,15.8,74.94,105.53,74.18,256.44,81.84
2002,Western,18.63,72.43,85.69,81.29,238.71,83.99
2003,Central,15.34,94.78,96.0,67.18,214.41,70.2
2003,Eastern,21.97,72.27,120.05,94.22,283.63,89.52
2003,Northern,17.85,80.33,110.75,78.16,267.94,85.13
2003,Western,19.21,77.43,90.01,86.27,252.55,86.93
2004,Central,16.2,100.02,99.4,70.64,222.9,72.5
2004,Eastern,23.85,76.45,126.8,99.1,296.83,92.42
2004,Northern,19.68,85.48,116.65,82.96,280.82,88.02
2004,Western,20.43,83.03,94.26,91.69,264.1,88.58
2005,Central,16.93,105.16,102.07,74.21,231.54,74.11
2005,Eastern,25.3,80.76,132.4,104.89,310.32,94.76
2005,Northern,21.24,90.01,120.16,86.85,291.17,89.73
2005,Western,21.7,88.26,98.94,96.54,276.32,90.55
2006,Central,17.53,109.21,104.82,78.19,238.54,75.22
2006,Eastern,26.4,84.01,136.33,110.04,321.54,96.11
2006,Northern,23.37,93.7,124.52,91.34,300.05,92.1
2006,Western,23.02,92.8,103.24,102.69,288.28,91.95
2007,Central,18.42,112.21,106.51,81.65,245.33,76.24
2007,Eastern,27.91,87.47,140.32,114.44,333.32,97.28
2007,Northern,27.01,96.46,127.01,95.1,308.62,93.98
2007,Western,24.91,96.84,106.14,106.69,298.74,93.62
2008,Central,18.76,114.9,110.15,85.26,250.38,76.95
2008,Eastern,29.11,90.62,145.25,118.82,343.13,98.8
2008,Northern,27.09,99.28,130.8,98.83,317.69,96.39
2008,Western,26.74,100.19,111.22,111.13,308.99,95.28
2009,Central,19.2,117.54,112.93,89.22,255.76,76.81
2009,Eastern,30.47,93.93,151.93,123.9,351.76,100.4
2009,Northern,28.62,101.68,133.72,104.36,327.42,97.64
2009,Western,28.42,103.18,115.14,116.16,317.53,96.62
2010,Central,19.66,118.64,113.82,92.12,258.41,76.03
2010,Eastern,31.62,96.17,157.49,127.58,357.56,101.57
2010,Northern,29.8,103.3,135.32,108.92,332.78,98.13
2010,Western,30.0,104.95,118.93,121.56,324.43,97.52
2011,Central,20.0,119.71,114.36,94.61,260.24,75.27
2011,Eastern,32.85,98.25,160.48,131.74,362.81,102.73
2011,Northern,30.89,104.65,136.93,112.96,336.54,98.49
2011,Western,31.31,106.4,122.49,125.65,329.95,98.26
2012,Central,20.68,120.42,115.46,96.87,261.59,75.01
2012,Eastern,34.21,99.91,162.53,134.45,366.32,103.45
2012,Northern,31.95,105.67,138.06,115.44,338.29,98.84
2012,Western,32.93,107.42,125.13,128.72,334.4,98.33
2013,Central,21.1,120.64,115.49,98.16,262.07,74.56
2013,Eastern,35.0,101.46,163.63,136.89,369.0,103.65
2013,Northern,32.84,106.05,138.28,118.32,340.22,98.61
2013,Western,33.93,108.19,126.66,131.84,337.87,97.97
2014,Central,21.49,120.85,116.45,99.51,263.06,73.97
2014,Eastern,35.69,102.78,165.32,139.77,372.23,103.5
2014,Northern,33.83,106.67,140.14,121.65,342.19,99.02
2014,Western,34.99,109.26,129.21,135.01,341.22,98.02
2015,Central,21.73,120.61,116.29,100.63,263.2,73.58
2015,Eastern,36.82,104.11,166.11,142.85,373.89,103.7
2015,Northern,34.74,107.47,141.66,124.45,343.52,99.1
2015,Western,35.85,110.05,131.91,138.12,343.7,98.18
2016,Central,22.16,120.47,116.85,101.36,262.37,73.11
2016,Eastern,37.87,105.21,166.61,145.1,374.45,103.55
2016,Northern,35.52,108.04,143.77,126.4,343.75,98.44
2016,Western,36.2,110.91,134.23,140.25,345.11,97.43
2017,Central,22.31,120.16,115.03,101.74,260.72,72.27
2017,Eastern,38.58,106.51,165.92,147.9,374.67,103.49
2017,Northern,36.6,108.94,145.13,129.34,345.12,98.1
2017,Western,36.57,111.59,134.77,141.93,344.52,95.84
