year,disease,prevalence,population,rate_per_1000
2000,AMI,9121,696073,13.1
2000,Asthma,64651,944858,68.42
2000,COPD,45720,527949,86.6
2000,Diabetes,47081,717660,65.6
2000,Hypertension,149124,717660,207.79
2000,IHD,50310,717660,70.1
2001,AMI,10459,724009,14.45
2001,Asthma,70449,948467,74.28
2001,COPD,49440,535968,92.24
2001,Diabetes,50774,724009,70.13
2001,Hypertension,160048,724009,221.06
2001,IHD,53518,724009,73.92
2002,AMI,11767,690768,17.03
2002,Asthma,75725,952236,79.52
2002,COPD,52706,543742,96.93
2002,Diabetes,54438,730769,74.49
2002,Hypertension,170657,730769,233.53
2002,IHD,56430,730769,77.22
2003,AMI,13196,738400,17.87
2003,Asthma,80859,956832,84.51
2003,COPD,56115,551022,101.84
2003,Diabetes,57855,738400,78.35
2003,Hypertension,180784,738400,244.83
2003,IHD,59096,738400,80.03
2004,AMI,14283,745976,19.15
2004,Asthma,86185,961425,89.64
2004,COPD,59470,558485,106.48
2004,Diabetes,61674,745976,82.68
2004,Hypertension,190570,745976,255.46
2004,IHD,61433,745976,82.35
2005,AMI,15245,752718,20.25
2005,Asthma,91253,964734,94.59
2005,COPD,62434,566161,110.28
2005,Diabetes,65436,752718,86.93
2005,Hypertension,200162,752718,265.92
2005,IHD,63339,752718,84.15
2006,AMI,16214,760028,21.33
2006,Asthma,95561,969260,98.59
2006,COPD,65411,574636,113.83
2006,Diabetes,69623,760028,91.61
2006,Hypertension,208916,760028,274.88
2006,IHD,64993,760028,85.51
2007,AMI,17312,754907,22.93
2007,Asthma,98856,970083,101.9
2007,COPD,67556,580821,116.31
2007,Diabetes,72840,764052,95.33
2007,Hypertension,216602,764052,283.49
2007,IHD,66311,764052,86.79
2008,AMI,18317,771615,23.74
2008,Asthma,102280,975288,104.87
2008,COPD,70901,588413,120.5
2008,Diabetes,76549,771615,99.21
2008,Hypertension,224529,771615,290.99
2008,IHD,67961,771615,88.08
2009,AMI,19302,779365,24.77
2009,Asthma,105544,979993,107.7
2009,COPD,73982,595453,124.24
2009,Diabetes,80889,779365,103.79
2009,Hypertension,232371,779365,298.15
2009,IHD,69167,779365,88.75
2010,AMI,20268,789374,25.68
2010,Asthma,107892,987396,109.27
2010,COPD,76410,603010,126.71
2010,Diabetes,84898,789374,107.55
2010,Hypertension,238769,789374,302.48
2010,IHD,70112,789374,88.82
2011,AMI,21108,797337,26.47
2011,Asthma,109892,992868,110.68
2011,COPD,78323,609554,128.49
2011,Diabetes,88383,797337,110.85
2011,Hypertension,243816,797337,305.79
2011,IHD,70834,797337,88.84
2012,AMI,22105,803696,27.5
2012,Asthma,111331,996613,111.71
2012,COPD,80036,615457,130.04
2012,Diabetes,91073,803696,113.32
2012,Hypertension,247563,803696,308.03
2012,IHD,71414,803696,88.86
2013,AMI,22817,810529,28.15
2013,Asthma,112409,1000602,112.34
2013,COPD,81231,622211,130.55
2013,Diabetes,93505,810529,115.36
2013,Hypertension,250868,810529,309.51
2013,IHD,71735,810529,88.5
2014,AMI,23484,815365,28.8
2014,Asthma,113361,1002990,113.02
2014,COPD,82930,627929,132.07
2014,Diabetes,95885,815365,117.6
2014,Hypertension,253838,815365,311.32
2014,IHD,71931,815365,88.22
2015,AMI,24141,821253,29.4
2015,Asthma,114321,1007499,113.47
2015,COPD,84210,633656,132.9
2015,Diabetes,98269,821253,119.66
2015,Hypertension,256361,821253,312.16
2015,IHD,72312,821253,88.05
2016,AMI,24849,830176,29.93
2016,Asthma,115687,1015709,113.9
2016,COPD,85846,640709,133.99
2016,Diabetes,100488,830176,121.04
2016,Hypertension,258980,830176,311.96
2016,IHD,72623,830176,87.48
2017,AMI,25486,840300,30.33
2017,Asthma,117194,1025374,114.29
2017,COPD,86536,649215,133.29
2017,Diabetes,102857,840300,122.41
2017,Hypertension,261369,840300,311.04
2017,IHD,72780,840300,86.61
2018,AMI,26049,852041,30.57
2018,Asthma,118674,1037749,114.36
2018,COPD,86914,658726,131.94
2018,Diabetes,104986,852041,123.22
2018,Hypertension,264365,852041,310.27
2018,IHD,72558,852041,85.16
2019,AMI,26673,867412,30.75
2019,Asthma,120372,1053740,114.23
2019,COPD,87829,669603,131.17
2019,Diabetes,107584,867412,124.03
2019,Hypertension,267265,867412,308.12
2019,IHD,72612,867412,83.71
2020,AMI,27323,876468,31.17
2020,Asthma,121798,1072163,113.6
2020,COPD,86851,680900,127.55
2020,Diabetes,109382,885253,123.56
2020,Hypertension,267896,885253,302.62
2020,IHD,72431,885253,81.82
2021,AMI,27971,895119,31.25
2021,Asthma,123301,1093619,112.75
2021,COPD,86355,696784,123.93
2021,Diabetes,111950,903906,123.85
2021,Hypertension,270054,903906,298.76
2021,IHD,72332,903906,80.02
2022,AMI,28363,925725,30.64
2022,Asthma,124908,1120818,111.44
2022,COPD,86386,714216,120.95
2022,Diabetes,115030,925725,124.26
2022,Hypertension,274877,925725,296.93
2022,IHD,71958,925725,77.73
