Year,Cohort,Pop_Poly,R2,Trend,Source
2012,0 to 9,88520,0.852,355,Observed
2013,0 to 9,88148,0.852,355,Observed
2014,0 to 9,87830,0.852,355,Observed
2015,0 to 9,87909,0.852,355,Observed
2016,0 to 9,88649,0.852,355,Observed
2017,0 to 9,89392,0.852,355,Observed
2018,0 to 9,89506,0.852,355,Observed
2019,0 to 9,89874,0.852,355,Observed
2020,0 to 9,90044,0.852,355,Observed
2021,0 to 9,89696,0.852,355,Observed
2022,0 to 9,90939,0.852,355,Observed
2023,0 to 9,92175,0.852,355,Observed
2024,0 to 9,92909,0.852,355,Observed
2025,0 to 9,91702,0.852,355,Observed
2026,0 to 9,93288,0.852,355,Projected
2027,0 to 9,93971,0.852,355,Projected
2028,0 to 9,94694,0.852,355,Projected
2029,0 to 9,95458,0.852,355,Projected
2030,0 to 9,96264,0.852,355,Projected
2012,10 to 19,104605,0.201,419,Observed
2013,10 to 19,101571,0.201,419,Observed
2014,10 to 19,99601,0.201,419,Observed
2015,10 to 19,98527,0.201,419,Observed
2016,10 to 19,97999,0.201,419,Observed
2017,10 to 19,97536,0.201,419,Observed
2018,10 to 19,97597,0.201,419,Observed
2019,10 to 19,98060,0.201,419,Observed
2020,10 to 19,98582,0.201,419,Observed
2021,10 to 19,97991,0.201,419,Observed
2022,10 to 19,101023,0.201,419,Observed
2023,10 to 19,104704,0.201,419,Observed
2024,10 to 19,107485,0.201,419,Observed
2025,10 to 19,109145,0.201,419,Observed
2026,10 to 19,113344,0.201,419,Projected
2027,10 to 19,117430,0.201,419,Projected
2028,10 to 19,121975,0.201,419,Projected
2029,10 to 19,126977,0.201,419,Projected
2030,10 to 19,132438,0.201,419,Projected
2012,20 to 29,121067,0.795,2298,Observed
2013,20 to 29,119415,0.795,2298,Observed
2014,20 to 29,117838,0.795,2298,Observed
2015,20 to 29,116892,0.795,2298,Observed
2016,20 to 29,117521,0.795,2298,Observed
2017,20 to 29,119406,0.795,2298,Observed
2018,20 to 29,121434,0.795,2298,Observed
2019,20 to 29,125179,0.795,2298,Observed
2020,20 to 29,127415,0.795,2298,Observed
2021,20 to 29,128837,0.795,2298,Observed
2022,20 to 29,132739,0.795,2298,Observed
2023,20 to 29,138393,0.795,2298,Observed
2024,20 to 29,148005,0.795,2298,Observed
2025,20 to 29,148087,0.795,2298,Observed
2026,20 to 29,156953,0.795,2298,Projected
2027,20 to 29,164216,0.795,2298,Projected
2028,20 to 29,172099,0.795,2298,Projected
2029,20 to 29,180603,0.795,2298,Projected
2030,20 to 29,189727,0.795,2298,Projected
2012,30 to 39,113890,0.787,3107,Observed
2013,30 to 39,111609,0.787,3107,Observed
2014,30 to 39,109779,0.787,3107,Observed
2015,30 to 39,108307,0.787,3107,Observed
2016,30 to 39,108762,0.787,3107,Observed
2017,30 to 39,111118,0.787,3107,Observed
2018,30 to 39,113894,0.787,3107,Observed
2019,30 to 39,116934,0.787,3107,Observed
2020,30 to 39,120473,0.787,3107,Observed
2021,30 to 39,124208,0.787,3107,Observed
2022,30 to 39,130889,0.787,3107,Observed
2023,30 to 39,139657,0.787,3107,Observed
2024,30 to 39,147530,0.787,3107,Observed
2025,30 to 39,151076,0.787,3107,Observed
2026,30 to 39,163072,0.787,3107,Projected
2027,30 to 39,173283,0.787,3107,Projected
2028,30 to 39,184381,0.787,3107,Projected
2029,30 to 39,196368,0.787,3107,Projected
2030,30 to 39,209242,0.787,3107,Projected
2012,40 to 49,137098,0.047,-310,Observed
2013,40 to 49,132763,0.047,-310,Observed
2014,40 to 49,128234,0.047,-310,Observed
2015,40 to 49,124181,0.047,-310,Observed
2016,40 to 49,121775,0.047,-310,Observed
2017,40 to 49,120046,0.047,-310,Observed
2018,40 to 49,119119,0.047,-310,Observed
2019,40 to 49,119166,0.047,-310,Observed
2020,40 to 49,119672,0.047,-310,Observed
2021,40 to 49,119749,0.047,-310,Observed
2022,40 to 49,122077,0.047,-310,Observed
2023,40 to 49,126040,0.047,-310,Observed
2024,40 to 49,129745,0.047,-310,Observed
2025,40 to 49,132311,0.047,-310,Observed
2026,40 to 49,138309,0.047,-310,Projected
2027,40 to 49,144196,0.047,-310,Projected
2028,40 to 49,150858,0.047,-310,Projected
2029,40 to 49,158295,0.047,-310,Projected
2030,40 to 49,166507,0.047,-310,Projected
2012,50 to 59,151649,0.863,-1695,Observed
2013,50 to 59,153758,0.863,-1695,Observed
2014,50 to 59,155007,0.863,-1695,Observed
2015,50 to 59,155332,0.863,-1695,Observed
2016,50 to 59,154563,0.863,-1695,Observed
2017,50 to 59,152867,0.863,-1695,Observed
2018,50 to 59,150437,0.863,-1695,Observed
2019,50 to 59,148200,0.863,-1695,Observed
2020,50 to 59,145987,0.863,-1695,Observed
2021,50 to 59,143387,0.863,-1695,Observed
2022,50 to 59,141102,0.863,-1695,Observed
2023,50 to 59,138497,0.863,-1695,Observed
2024,50 to 59,135592,0.863,-1695,Observed
2025,50 to 59,132821,0.863,-1695,Observed
2026,50 to 59,127413,0.863,-1695,Projected
2027,50 to 59,122936,0.863,-1695,Projected
2028,50 to 59,118111,0.863,-1695,Projected
2029,50 to 59,112938,0.863,-1695,Projected
2030,50 to 59,107418,0.863,-1695,Projected
2012,60 to 69,119168,0.993,2995,Observed
2013,60 to 69,122546,0.993,2995,Observed
2014,60 to 69,126401,0.993,2995,Observed
2015,60 to 69,130592,0.993,2995,Observed
2016,60 to 69,134029,0.993,2995,Observed
2017,60 to 69,135937,0.993,2995,Observed
2018,60 to 69,138249,0.993,2995,Observed
2019,60 to 69,141082,0.993,2995,Observed
2020,60 to 69,144108,0.993,2995,Observed
2021,60 to 69,147330,0.993,2995,Observed
2022,60 to 69,151453,0.993,2995,Observed
2023,60 to 69,154557,0.993,2995,Observed
2024,60 to 69,156570,0.993,2995,Observed
2025,60 to 69,157277,0.993,2995,Observed
2026,60 to 69,160868,0.993,2995,Projected
2027,60 to 69,163245,0.993,2995,Projected
2028,60 to 69,165544,0.993,2995,Projected
2029,60 to 69,167765,0.993,2995,Projected
2030,60 to 69,169910,0.993,2995,Projected
2012,70 to 79,65994,0.994,3936,Observed
2013,70 to 79,68298,0.994,3936,Observed
2014,70 to 79,70901,0.994,3936,Observed
2015,70 to 79,73329,0.994,3936,Observed
2016,70 to 79,76479,0.994,3936,Observed
2017,70 to 79,81967,0.994,3936,Observed
2018,70 to 79,86971,0.994,3936,Observed
2019,70 to 79,91371,0.994,3936,Observed
2020,70 to 79,95716,0.994,3936,Observed
2021,70 to 79,99811,0.994,3936,Observed
2022,70 to 79,103462,0.994,3936,Observed
2023,70 to 79,106778,0.994,3936,Observed
2024,70 to 79,110605,0.994,3936,Observed
2025,70 to 79,114419,0.994,3936,Observed
2026,70 to 79,119834,0.994,3936,Projected
2027,70 to 79,124292,0.994,3936,Projected
2028,70 to 79,128816,0.994,3936,Projected
2029,70 to 79,133405,0.994,3936,Projected
2030,70 to 79,138059,0.994,3936,Projected
2012,80 to 89,32922,0.948,1072,Observed
2013,80 to 89,33349,0.948,1072,Observed
2014,80 to 89,33769,0.948,1072,Observed
2015,80 to 89,34143,0.948,1072,Observed
2016,80 to 89,34879,0.948,1072,Observed
2017,80 to 89,35619,0.948,1072,Observed
2018,80 to 89,36519,0.948,1072,Observed
2019,80 to 89,37607,0.948,1072,Observed
2020,80 to 89,38807,0.948,1072,Observed
2021,80 to 89,40222,0.948,1072,Observed
2022,80 to 89,41519,0.948,1072,Observed
2023,80 to 89,43287,0.948,1072,Observed
2024,80 to 89,45161,0.948,1072,Observed
2025,80 to 89,47041,0.948,1072,Observed
2026,80 to 89,49062,0.948,1072,Projected
2027,80 to 89,51260,0.948,1072,Projected
2028,80 to 89,53598,0.948,1072,Projected
2029,80 to 89,56077,0.948,1072,Projected
2030,80 to 89,58697,0.948,1072,Projected
2012,90 to 99,7984,0.685,69,Observed
2013,90 to 99,8078,0.685,69,Observed
2014,90 to 99,8125,0.685,69,Observed
2015,90 to 99,7949,0.685,69,Observed
2016,90 to 99,8051,0.685,69,Observed
2017,90 to 99,7974,0.685,69,Observed
2018,90 to 99,8055,0.685,69,Observed
2019,90 to 99,8010,0.685,69,Observed
2020,90 to 99,8049,0.685,69,Observed
2021,90 to 99,8340,0.685,69,Observed
2022,90 to 99,8483,0.685,69,Observed
2023,90 to 99,8580,0.685,69,Observed
2024,90 to 99,8834,0.685,69,Observed
2025,90 to 99,9033,0.685,69,Observed
2026,90 to 99,9252,0.685,69,Projected
2027,90 to 99,9513,0.685,69,Projected
2028,90 to 99,9799,0.685,69,Projected
2029,90 to 99,10108,0.685,69,Projected
2030,90 to 99,10442,0.685,69,Projected
2012,100+,266,0.841,6,Observed
2013,100+,273,0.841,6,Observed
2014,100+,283,0.841,6,Observed
2015,100+,258,0.841,6,Observed
2016,100+,277,0.841,6,Observed
2017,100+,297,0.841,6,Observed
2018,100+,291,0.841,6,Observed
2019,100+,316,0.841,6,Observed
2020,100+,315,0.841,6,Observed
2021,100+,337,0.841,6,Observed
2022,100+,348,0.841,6,Observed
2023,100+,337,0.841,6,Observed
2024,100+,333,0.841,6,Observed
2025,100+,333,0.841,6,Observed
2026,100+,350,0.841,6,Projected
2027,100+,355,0.841,6,Projected
2028,100+,359,0.841,6,Projected
2029,100+,364,0.841,6,Projected
2030,100+,368,0.841,6,Projected
