zone_name,disease,age_group,sex,prevalence,population,rate_per_1000
Central,Diabetes,20 to 29,F,345,35574,9.7
Central,Diabetes,20 to 29,M,329,35843,9.2
Central,Diabetes,30 to 39,F,825,44340,18.6
Central,Diabetes,30 to 39,M,893,43045,20.7
Central,Diabetes,40 to 49,F,1769,38687,45.7
Central,Diabetes,40 to 49,M,2053,37256,55.1
Central,Diabetes,50 to 59,F,3615,37169,97.3
Central,Diabetes,50 to 59,M,4444,35942,123.6
Central,Diabetes,60 to 69,F,5619,35323,159.1
Central,Diabetes,60 to 69,M,7246,33468,216.5
Central,Diabetes,70 to 79,F,5293,23520,225.0
Central,Diabetes,70 to 79,M,6433,20670,311.2
Central,Diabetes,80 +,F,3363,13449,250.1
Central,Diabetes,80 +,M,3225,9460,340.9
Central,Hypertension,20 to 29,F,227,35574,6.4
Central,Hypertension,20 to 29,M,276,35843,7.7
Central,Hypertension,30 to 39,F,1374,44340,31.0
Central,Hypertension,30 to 39,M,1731,43045,40.2
Central,Hypertension,40 to 49,F,4114,38687,106.3
Central,Hypertension,40 to 49,M,4588,37256,123.1
Central,Hypertension,50 to 59,F,9065,37169,243.9
Central,Hypertension,50 to 59,M,9866,35942,274.5
Central,Hypertension,60 to 69,F,14951,35323,423.3
Central,Hypertension,60 to 69,M,15875,33468,474.3
Central,Hypertension,70 to 79,F,15080,23520,641.2
Central,Hypertension,70 to 79,M,13855,20670,670.3
Central,Hypertension,80 +,F,10953,13449,814.4
Central,Hypertension,80 +,M,7537,9460,796.7
Central,IHD,20 to 29,F,13,35574,0.4
Central,IHD,20 to 29,M,16,35843,0.4
Central,IHD,30 to 39,F,117,44340,2.6
Central,IHD,30 to 39,M,146,43045,3.4
Central,IHD,40 to 49,F,351,38687,9.1
Central,IHD,40 to 49,M,592,37256,15.9
Central,IHD,50 to 59,F,990,37169,26.6
Central,IHD,50 to 59,M,1977,35942,55.0
Central,IHD,60 to 69,F,2572,35323,72.8
Central,IHD,60 to 69,M,4787,33468,143.0
Central,IHD,70 to 79,F,3589,23520,152.6
Central,IHD,70 to 79,M,5446,20670,263.5
Central,IHD,80 +,F,3549,13449,263.9
Central,IHD,80 +,M,3793,9460,401.0
Eastern,Diabetes,20 to 29,F,175,10060,17.4
Eastern,Diabetes,20 to 29,M,158,10631,14.9
Eastern,Diabetes,30 to 39,F,378,10692,35.4
Eastern,Diabetes,30 to 39,M,383,10972,34.9
Eastern,Diabetes,40 to 49,F,855,10574,80.9
Eastern,Diabetes,40 to 49,M,790,10559,74.8
Eastern,Diabetes,50 to 59,F,1731,12631,137.0
Eastern,Diabetes,50 to 59,M,1894,12334,153.6
Eastern,Diabetes,60 to 69,F,2916,15412,189.2
Eastern,Diabetes,60 to 69,M,3438,14624,235.1
Eastern,Diabetes,70 to 79,F,3030,11288,268.4
Eastern,Diabetes,70 to 79,M,3609,10650,338.9
Eastern,Diabetes,80 +,F,2068,6994,295.7
Eastern,Diabetes,80 +,M,1760,4954,355.3
Eastern,Hypertension,20 to 29,F,110,10060,10.9
Eastern,Hypertension,20 to 29,M,168,10631,15.8
